day_index,split_code,intercept,incentive,wip,no_of_workers,over_time,smv,style_change,series
5,0,1.0658041232710713,-0.12179286775861944,0.4318064896729761,0.388896104173889,-0.04770479106427251,-0.2968345039179038,0.02944291385967456,4__1
6,0,1.0602361523805803,-0.12288617982195177,0.43126333407082773,0.3889501631983892,-0.047722093620474186,-0.2970311636841018,0.02946230039019127,4__1
7,0,1.0587978358402093,-0.12313177506937308,0.431154844531003,0.38895795304566316,-0.0477263321377099,-0.2970778376559841,0.029466819586132842,4__1
8,0,1.0306893860226092,-0.11886728733265595,0.42838223936123865,0.3896985832414598,-0.0476563660670361,-0.2988374170017431,0.029416444918893645,4__1
9,0,0.9549650774434884,-0.10769718701996771,0.42212659408333497,0.39069587849098736,-0.04751144454404681,-0.3001729504094751,0.029295736703608636,4__1
10,0,0.9160848848156837,-0.10937174686595502,0.4186776394989996,0.3907498934539989,-0.04757242359427608,-0.3008017573509737,0.02934549760658588,4__1
11,0,0.9023738084949684,-0.10992953108235866,0.41740532901938765,0.39076176673238544,-0.04756230105413735,-0.30103648271744105,0.02936516085121267,4__1
12,0,0.9035237802313814,-0.1098543157760917,0.41751777026353265,0.39075581104436724,-0.04756012402388168,-0.30101556151689896,0.029363381125022625,4__1
13,0,0.8978848694253857,-0.11102315845004565,0.4170370218063501,0.3907595004811795,-0.047582582004187135,-0.3011126850775558,0.02938402863791159,4__1
14,0,0.8924356184852696,-0.1121487831160904,0.4165337994308303,0.3907710102449367,-0.04760388597443382,-0.3012112004061993,0.029403808321791087,4__1
15,0,0.8846827982227753,-0.11422657682712965,0.41579763373195683,0.39077511898107725,-0.04764087158484569,-0.3013531325865161,0.029438970708040496,4__1
16,0,0.8774020545481356,-0.11617168402728051,0.4150571508150814,0.39078879421928625,-0.047675078945444004,-0.301492336210399,0.02947174108853906,4__1
17,0,0.8811131591349677,-0.11470483362034245,0.4153349138824271,0.3907870127208527,-0.047650690726128826,-0.30142588748771265,0.029448130628944653,4__1
18,0,0.8821748796591331,-0.11434221933237369,0.4154047420983905,0.39078915286497473,-0.04764439894674928,-0.30140840423292353,0.0294421877440676,4__1
19,0,0.8869969145256761,-0.11243222070702132,0.41566647806491697,0.3908382806673708,-0.04761116781780716,-0.3013398815591861,0.029411011025881846,4__1
20,0,0.8904649043034646,-0.11106171185464087,0.41595038705005327,0.390852579361473,-0.047588180641585376,-0.30127920058422786,0.02938889474880843,4__1
21,0,0.9074280267270012,-0.10729536764775717,0.41788999443734276,0.39075330785295825,-0.04752163523459961,-0.30092403087507025,0.029325151328984937,4__1
22,0,0.9223000079138662,-0.10404954401905783,0.4198096715284222,0.3906171842008153,-0.047503773316987435,-0.3005735921265647,0.029267742827451548,4__1
