series,team_display,department_display,driver,driver_value,current_value,unit,expected_productivity,ci80_lower,ci80_upper,ci95_lower,ci95_upper
8__1,Team 8,Sewing,WIP,551.0266666666668,913.9999999999997,pieces,0.6557320259120768,0.628618710259292,0.6833459268916684,0.6132904896608686,0.6966629364244489
8__1,Team 8,Sewing,WIP,601.1200000000001,913.9999999999997,pieces,0.6584606489320035,0.631850206094944,0.6856495766620163,0.6164454827635001,0.6991664297689302
8__1,Team 8,Sewing,WIP,651.2133333333335,913.9999999999997,pieces,0.660961274137119,0.6346819307385713,0.6880409452975852,0.6193218119569968,0.7009933455534827
8__1,Team 8,Sewing,WIP,701.3066666666667,913.9999999999997,pieces,0.6632682601630229,0.6370368456567505,0.6901351782662309,0.621421817166936,0.7029608491825998
8__1,Team 8,Sewing,WIP,751.4000000000001,913.9999999999997,pieces,0.6654087862164857,0.6394267391359438,0.6921858480316023,0.6238068026195328,0.7047886078189755
8__1,Team 8,Sewing,WIP,801.4933333333335,913.9999999999997,pieces,0.6674047176491094,0.6416694437802806,0.6943296026312252,0.6265948701376817,0.7064795239564959
8__1,Team 8,Sewing,WIP,851.5866666666668,913.9999999999997,pieces,0.6692739031705732,0.6436706173925012,0.696270065825214,0.6285701349371771,0.7080836183811942
8__1,Team 8,Sewing,WIP,901.6800000000002,913.9999999999997,pieces,0.6710310994409682,0.6454924933778186,0.6981415434283219,0.630308709953985,0.7095875624815724
8__1,Team 8,Sewing,WIP,913.9999999999997,913.9999999999997,pieces,0.6714475674986097,0.6458344582689814,0.6985692349554874,0.6307564773371015,0.7099465740033756
8__1,Team 8,Sewing,WIP,951.7733333333334,913.9999999999997,pieces,0.6726886444270075,0.6469370193874143,0.6996940148880291,0.6321757346342499,0.7113432733119984
8__1,Team 8,Sewing,WIP,1001.8666666666668,913.9999999999997,pieces,0.6742569571656907,0.6484318120930643,0.7014043202620622,0.6336012398611108,0.7133350033460597
8__1,Team 8,Sewing,WIP,1051.9600000000003,913.9999999999997,pieces,0.6757449149662392,0.6500095577604557,0.7027357429428378,0.6350752214765756,0.7151904452888991
8__1,Team 8,Sewing,WIP,1102.0533333333335,913.9999999999997,pieces,0.6771601424043697,0.6515901296925486,0.7041269172386002,0.6362848218579017,0.7162897991136873
8__1,Team 8,Sewing,WIP,1152.1466666666668,913.9999999999997,pieces,0.6785092357352125,0.652874626396606,0.7056987601293084,0.6373566738829256,0.7176038032122648
8__1,Team 8,Sewing,WIP,1202.2400000000002,913.9999999999997,pieces,0.6797979392872726,0.6543559375411944,0.7067626414565781,0.6387059422848761,0.7191829717518993
8__1,Team 8,Sewing,WIP,1252.3333333333335,913.9999999999997,pieces,0.6810312856502692,0.6554267753943657,0.7082366043068391,0.6401576669427504,0.7206908447907177
8__1,Team 8,Sewing,WIP,1302.426666666667,913.9999999999997,pieces,0.6822137082146086,0.6565560583819886,0.7095100474421833,0.6415522377887906,0.7219154891998161
8__1,Team 8,Sewing,WIP,1352.5200000000002,913.9999999999997,pieces,0.6833491323513343,0.6578722912530472,0.7107775788298261,0.6428874807280607,0.7229441317767005
8__1,Team 8,Sewing,WIP,1402.6133333333335,913.9999999999997,pieces,0.6844410499144906,0.6591017430568336,0.7121477249130322,0.6441413240296473,0.7237797446905383
8__1,Team 8,Sewing,WIP,1452.706666666667,913.9999999999997,pieces,0.6854925805934596,0.6598721649139875,0.7130644206559581,0.6451292457046159,0.7246948757542212
8__1,Team 8,Sewing,WIP,1502.8000000000002,913.9999999999997,pieces,0.6865065228026009,0.6610137369105477,0.7141642699172257,0.6460955368632195,0.7257203516716486
8__1,Team 8,Sewing,Workers,7.000000000000002,56.00000000000001,workers,0.5285646016003457,0.3976501758852031,0.6583056164393098,0.33362760361463134,0.7118445057752687
8__1,Team 8,Sewing,Workers,8.700000000000003,56.00000000000001,workers,0.5428571779968309,0.422846344657945,0.6610473814160412,0.365784446443524,0.7092395503344145
8__1,Team 8,Sewing,Workers,10.400000000000002,56.00000000000001,workers,0.5549052615317386,0.4443526194304848,0.6635523190037133,0.39035190012866416,0.7070937778247679
8__1,Team 8,Sewing,Workers,12.100000000000003,56.00000000000001,workers,0.5653014986676136,0.4632186747814386,0.6664512945990755,0.4145974590102666,0.7053154648473495
8__1,Team 8,Sewing,Workers,13.800000000000004,56.00000000000001,workers,0.5744303451414126,0.4812491351308907,0.6679060577704377,0.4352766888157633,0.7050876082077989
8__1,Team 8,Sewing,Workers,15.500000000000004,56.00000000000001,workers,0.5825558465570915,0.4959836075478653,0.668033171178765,0.45304614195213483,0.7043504519254128
8__1,Team 8,Sewing,Workers,17.200000000000003,56.00000000000001,workers,0.5898673822624153,0.5088435274728832,0.6688994530162726,0.4716668371690425,0.7046329595092581
8__1,Team 8,Sewing,Workers,18.900000000000006,56.00000000000001,workers,0.5965054898273588,0.5214939273087733,0.669636659043933,0.48619179076551877,0.7017171194858447
8__1,Team 8,Sewing,Workers,20.600000000000005,56.00000000000001,workers,0.6025773751900559,0.5311616411318854,0.6704522431134539,0.49930420891730787,0.7013488518983444
8__1,Team 8,Sewing,Workers,22.300000000000004,56.00000000000001,workers,0.6081667000010643,0.5421931097035694,0.6712709809629643,0.5119830752860722,0.6993896531038257
8__1,Team 8,Sewing,Workers,24.000000000000007,56.00000000000001,workers,0.6133400125585321,0.5522128309005778,0.6723914280023576,0.5239929576339043,0.6985208964831925
8__1,Team 8,Sewing,Workers,25.700000000000003,56.00000000000001,workers,0.6181511183101346,0.5602593620346266,0.6735389658984771,0.5350673362771858,0.6990230460154565
8__1,Team 8,Sewing,Workers,27.400000000000006,56.00000000000001,workers,0.6226441361988441,0.5684611869967547,0.6740670492020816,0.5426504436867057,0.6993179606433482
8__1,Team 8,Sewing,Workers,29.10000000000001,56.00000000000001,workers,0.6268556891190248,0.5763212833010241,0.6753114562066007,0.5518990082452893,0.6981128787069787
8__1,Team 8,Sewing,Workers,30.800000000000004,56.00000000000001,workers,0.6308165076244429,0.5837113024303529,0.6765967944766259,0.5590400373664612,0.6980978494774216
8__1,Team 8,Sewing,Workers,32.50000000000001,56.00000000000001,workers,0.6345526262138876,0.5906748468345007,0.6776327388919164,0.5665722122519145,0.6975960282614543
