series,team_display,department_display,driver,effect_mean,effect80_lower,effect80_upper,current_value,range_low,range_high,unit,direction,confidence,strength,strength_rank
5__0,Team 5,Finishing,Overtime,-0.011436170944243474,-0.018510349903634295,-0.005054602826069629,1439.9999999999995,960.0,10368.0,min,Reduces,Clear,Smaller,6
5__1,Team 5,Sewing,Incentive,0.2830643766134397,0.25014136013718663,0.3165751777598707,30.0,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
5__1,Team 5,Sewing,WIP,0.2122111531014229,0.1237762342550181,0.29965159707643846,992.0000000000002,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
5__1,Team 5,Sewing,SMV,-0.14640897551276633,-0.18823126862949457,-0.10389899175398792,25.819999999999997,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,3
5__1,Team 5,Sewing,Workers,0.14352513741915018,0.016854174793177346,0.27433661995591,56.999999999999986,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,4
5__1,Team 5,Sewing,Style Changes,0.031131829773333213,0.009119259705017535,0.05265772396283985,1.0,0.0,2.0,,Supports,Clear,Smaller,5
5__1,Team 5,Sewing,Overtime,-0.015902449155352993,-0.024825120352197205,-0.0072253519003726095,6960.000000000005,960.0,10368.0,min,Reduces,Clear,Smaller,6
6__0,Team 6,Finishing,WIP,0.306260286289168,0.14266660982117635,0.46552464695934287,0.0,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,1
6__0,Team 6,Finishing,Workers,0.25323699714105913,0.19333415144992774,0.3107459758163907,5.0,5.0,58.000000000000014,workers,Supports,Clear,Strong,2
6__0,Team 6,Finishing,SMV,-0.1891637785401948,-0.25076757407940037,-0.12693731455460666,1.8999999999999997,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,3
6__0,Team 6,Finishing,Incentive,0.169789412446883,0.06259316542620712,0.2628438509134865,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
6__0,Team 6,Finishing,Style Changes,0.032450111905531036,0.009534651063691325,0.05516216679052981,0.0,0.0,2.0,,Supports,Clear,Smaller,5
6__0,Team 6,Finishing,Overtime,-0.019323990561082874,-0.030426204973300064,-0.00884858890473103,720.0000000000002,720.0000000000002,10368.0,min,Reduces,Clear,Smaller,6
6__1,Team 6,Sewing,WIP,0.3868098638416839,0.2804869103466524,0.4840478583226255,1127.9999999999998,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,1
6__1,Team 6,Sewing,Incentive,0.3360719185457278,0.29862598228768417,0.3732076428661957,40.00000000000001,0.0,87.99999999999999,BDT,Supports,Clear,Strong,2
6__1,Team 6,Sewing,SMV,-0.13052214985425045,-0.1686125873926958,-0.09252221546782086,22.41,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,3
6__1,Team 6,Sewing,Workers,0.1265767481165001,0.012318739197743024,0.2473198852158039,36.99999999999999,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,4
6__1,Team 6,Sewing,Style Changes,0.02785477634734691,0.008444498378047739,0.047412844937033044,1.0,0.0,2.0,,Supports,Clear,Smaller,5
6__1,Team 6,Sewing,Overtime,-0.014316123998488178,-0.022313203823897444,-0.006655601470538596,4559.999999999998,960.0,10368.0,min,Reduces,Clear,Smaller,6
7__0,Team 7,Finishing,WIP,0.22384798918089455,0.056570955498627715,0.3836932002529324,0.0,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,1
7__0,Team 7,Finishing,Workers,0.21350518630706272,0.1648875273573829,0.26082956823459685,7.000000000000002,7.000000000000002,58.000000000000014,workers,Supports,Clear,Strong,2
7__0,Team 7,Finishing,SMV,-0.18489722928525662,-0.24701501055003186,-0.12247435712555824,2.8999999999999995,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,3
7__0,Team 7,Finishing,Incentive,0.16325873908619626,0.06995063241847699,0.2503298268721609,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
7__0,Team 7,Finishing,Style Changes,0.03090657528250917,0.009200455870686608,0.05296508212312619,0.0,0.0,2.0,,Supports,Clear,Smaller,5
7__0,Team 7,Finishing,Overtime,-0.016547474183280012,-0.02615022886334504,-0.007504932367209379,960.0,960.0,10368.0,min,Reduces,Clear,Smaller,6
7__1,Team 7,Sewing,Incentive,0.3647978392429735,0.3322572001523999,0.39578130724704197,26.0,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
7__1,Team 7,Sewing,WIP,0.2713282462153126,0.18174880865062132,0.3634906284647272,935.0000000000005,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
7__1,Team 7,Sewing,SMV,-0.151867698124151,-0.19411257372295715,-0.10859115339591283,29.48,1.8999999999999997,29.48,,Reduces,Clear,Moderate,3
7__1,Team 7,Sewing,Workers,0.1465938348722209,0.01967552205352796,0.27546602173934154,56.00000000000001,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,4
7__1,Team 7,Sewing,Style Changes,0.032284525433022376,0.009341831334891082,0.05510828289004848,1.0,0.0,2.0,,Supports,Clear,Smaller,5
7__1,Team 7,Sewing,Overtime,-0.016505174645021867,-0.02586791188687827,-0.007605932836546313,6840.000000000002,960.0,10368.0,min,Reduces,Clear,Smaller,6
8__0,Team 8,Finishing,Workers,0.18844757424564637,0.14740558328452477,0.23039691339736865,7.000000000000002,7.000000000000002,58.000000000000014,workers,Supports,Clear,Strong,1
8__0,Team 8,Finishing,WIP,0.18820357893517708,0.029501557835475468,0.34978714241249237,0.0,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
8__0,Team 8,Finishing,SMV,-0.17697099257801882,-0.23915090280460552,-0.11549865163309402,2.8999999999999995,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,3
8__0,Team 8,Finishing,Incentive,0.14205188039790562,0.0531042495882405,0.21643339763998187,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
8__0,Team 8,Finishing,Style Changes,0.02840372882215507,0.008511028677112287,0.04823314165598291,0.0,0.0,2.0,,Supports,Clear,Smaller,5
